LECROYWR104Xi-A,51949,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,05-Oct-2023 10:22:38,0                 
Time,Ampl
3.0767034e-006,0.0119976
3.0768034e-006,0.0141225
3.0769034e-006,0.0154975
3.0770034e-006,0.0234972
3.0771034e-006,0.0362467
3.0772034e-006,0.0418715
3.0773034e-006,0.0374966
3.0774034e-006,0.0327468
3.0775034e-006,0.0308719
3.0776034e-006,0.0297469
3.0777034e-006,0.027247
3.0778034e-006,0.0194973
3.0779034e-006,0.00699781
3.0780034e-006,-0.00250182
3.0781034e-006,-0.00200184
3.0782034e-006,0.00824776
3.0783034e-006,0.0151225
3.0784034e-006,0.0123726
3.0785034e-006,0.0073728
3.0786034e-006,0.00349795
3.0787034e-006,0.00624784
3.0788034e-006,0.0201223
3.0789034e-006,0.0319969
3.0790034e-006,0.0336218
3.0791034e-006,0.0316219
3.0792034e-006,0.0342468
3.0793034e-006,0.0407465
3.0794034e-006,0.0377466
3.0795034e-006,0.0202473
3.0796034e-006,-0.00262682
3.0797034e-006,-0.0177512
3.0798034e-006,-0.0202511
3.0799034e-006,-0.0176262
3.0800034e-006,-0.0155013
3.0801034e-006,-0.00962655
3.0802034e-006,0.00249798
3.0803034e-006,0.0161225
3.0804034e-006,0.0247471
3.0805034e-006,0.0297469
3.0806034e-006,0.0377466
3.0807034e-006,0.0453713
3.0808034e-006,0.0389966
3.0809034e-006,0.0162475
3.0810034e-006,-0.00550171
3.0811034e-006,-0.0103765
3.0812034e-006,-0.000376906
3.0813034e-006,0.0126226
3.0814034e-006,0.0241222
3.0815034e-006,0.0341218
3.0816034e-006,0.0404965
3.0817034e-006,0.0428714
3.0818034e-006,0.0417465
3.0819034e-006,0.0363717
3.0820034e-006,0.0243721
3.0821034e-006,0.0109977
3.0822034e-006,0.00812277
3.0823034e-006,0.0163725
3.0824034e-006,0.029122
3.0825034e-006,0.0419965
3.0826034e-006,0.0487462
3.0827034e-006,0.0458713
3.0828034e-006,0.0352467
3.0829034e-006,0.0214973
3.0830034e-006,0.0109977
3.0831034e-006,0.00574786
3.0832034e-006,0.00637284
3.0833034e-006,0.0132476
3.0834034e-006,0.0213723
3.0835034e-006,0.0261221
3.0836034e-006,0.0227472
3.0837034e-006,0.00887274
3.0838034e-006,-0.0030018
3.0839034e-006,-0.00275181
3.0840034e-006,0.00437291
3.0841034e-006,0.0123726
3.0842034e-006,0.0218722
3.0843034e-006,0.0322468
3.0844034e-006,0.0381216
3.0845034e-006,0.0407465
3.0846034e-006,0.0484962
3.0847034e-006,0.0591208
3.0848034e-006,0.0626207
3.0849034e-006,0.054621
3.0850034e-006,0.0368717
3.0851034e-006,0.0224972
3.0852034e-006,0.0242471
3.0853034e-006,0.0346218
3.0854034e-006,0.0403715
3.0855034e-006,0.0389966
3.0856034e-006,0.0348717
3.0857034e-006,0.028497
3.0858034e-006,0.0229972
3.0859034e-006,0.0252471
3.0860034e-006,0.0317469
3.0861034e-006,0.0344968
3.0862034e-006,0.0294969
3.0863034e-006,0.0193723
3.0864034e-006,0.0131226
3.0865034e-006,0.0174974
3.0866034e-006,0.0302469
3.0867034e-006,0.0396216
3.0868034e-006,0.0363717
3.0869034e-006,0.0249971
3.0870034e-006,0.0186224
3.0871034e-006,0.0203723
3.0872034e-006,0.0221222
3.0873034e-006,0.0149975
3.0874034e-006,0.000498061
3.0875034e-006,-0.00950156
3.0876034e-006,-0.00712665
3.0877034e-006,0.00287297
3.0878034e-006,0.0151225
3.0879034e-006,0.028372
3.0880034e-006,0.0364967
3.0881034e-006,0.029122
3.0882034e-006,0.00849775
3.0883034e-006,-0.0120015
3.0884034e-006,-0.022876
3.0885034e-006,-0.0262509
3.0886034e-006,-0.024876
3.0887034e-006,-0.0170013
3.0888034e-006,-0.00625168
3.0889034e-006,-0.000126915
3.0890034e-006,-0.00125187
3.0891034e-006,-0.00600169
3.0892034e-006,-0.00625168
3.0893034e-006,0.00587285
3.0894034e-006,0.0232472
3.0895034e-006,0.027372
3.0896034e-006,0.0126226
3.0897034e-006,-0.00675166
3.0898034e-006,-0.0151263
3.0899034e-006,-0.00950156
3.0900034e-006,0.00637284
3.0901034e-006,0.027497
3.0902034e-006,0.0428714
3.0903034e-006,0.0433714
3.0904034e-006,0.029122
3.0905034e-006,0.0101227
3.0906034e-006,-0.00337679
3.0907034e-006,-0.00950156
3.0908034e-006,-0.00975155
3.0909034e-006,-0.0056267
3.0910034e-006,-0.0031268
3.0911034e-006,-0.00937656
3.0912034e-006,-0.0188762
3.0913034e-006,-0.0175012
3.0914034e-006,-0.00412676
3.0915034e-006,0.00887274
3.0916034e-006,0.0132476
3.0917034e-006,0.0128726
3.0918034e-006,0.0111227
3.0919034e-006,0.00812277
3.0920034e-006,0.00337295
3.0921034e-006,-0.00862659
3.0922034e-006,-0.0258759
3.0923034e-006,-0.0332506
3.0924034e-006,-0.022876
3.0925034e-006,-0.00287681
3.0926034e-006,0.0159975
3.0927034e-006,0.0252471
3.0928034e-006,0.0221222
3.0929034e-006,0.0122476
3.0930034e-006,0.00187301
3.0931034e-006,-0.00362678
3.0932034e-006,0.00162302
3.0933034e-006,0.0108727
3.0934034e-006,0.00912273
3.0935034e-006,-0.00200184
3.0936034e-006,-0.00387677
3.0937034e-006,0.00912273
3.0938034e-006,0.0208723
3.0939034e-006,0.0198723
3.0940034e-006,0.0118726
3.0941034e-006,0.00362294
3.0942034e-006,-0.00500173
3.0943034e-006,-0.0102515
3.0944034e-006,-0.00912657
3.0945034e-006,-0.0083766
3.0946034e-006,-0.0123764
3.0947034e-006,-0.0146264
3.0948034e-006,-0.00862659
3.0949034e-006,0.00162302
3.0950034e-006,0.00899773
3.0951034e-006,0.0132476
3.0952034e-006,0.0124976
3.0953034e-006,0.00112304
3.0954034e-006,-0.0137514
3.0955034e-006,-0.0182512
3.0956034e-006,-0.0151263
3.0957034e-006,-0.0141264
3.0958034e-006,-0.0152513
3.0959034e-006,-0.0148763
3.0960034e-006,-0.0105015
3.0961034e-006,-0.00237683
3.0962034e-006,0.00437291
3.0963034e-006,0.00887274
3.0964034e-006,0.0173724
3.0965034e-006,0.0308719
3.0966034e-006,0.0429964
3.0967034e-006,0.0477462
3.0968034e-006,0.0461213
3.0969034e-006,0.0424964
3.0970034e-006,0.0371217
3.0971034e-006,0.0334968
3.0972034e-006,0.0322468
3.0973034e-006,0.026997
3.0974034e-006,0.0171224
3.0975034e-006,0.0128726
3.0976034e-006,0.0173724
3.0977034e-006,0.0223722
3.0978034e-006,0.0231222
3.0979034e-006,0.0212473
3.0980034e-006,0.0186224
3.0981034e-006,0.0153725
3.0982034e-006,0.0152475
3.0983034e-006,0.0211223
3.0984034e-006,0.0299969
3.0985034e-006,0.0362467
3.0986034e-006,0.0346218
3.0987034e-006,0.0267471
3.0988034e-006,0.0157475
3.0989034e-006,0.00499789
3.0990034e-006,0.00262298
3.0991034e-006,0.00862275
3.0992034e-006,0.0131226
3.0993034e-006,0.0101227
3.0994034e-006,0.00024807
3.0995034e-006,-0.0128764
3.0996034e-006,-0.023626
3.0997034e-006,-0.0218761
3.0998034e-006,-0.00437675
3.0999034e-006,0.0141225
3.1000034e-006,0.0201223
3.1001034e-006,0.0197473
3.1002034e-006,0.0242471
